stock_id,stock_name,industry_category,coverage_ratio
1104,環泥,水泥工業,1.0
1108,幸福,水泥工業,1.0
1201,味全,食品工業,1.0
1203,味王,食品工業,1.0
1210,大成,食品工業,1.0
1215,卜蜂,食品工業,1.0
1217,愛之味,食品工業,1.0
1218,泰山,食品工業,1.0
1219,福壽,食品工業,1.0
1220,台榮,食品工業,1.0
1227,佳格,食品工業,1.0
1231,聯華食,食品工業,1.0
1232,大統益,食品工業,1.0
1233,天仁,食品工業,1.0
1234,黑松,食品工業,1.0
1256,鮮活果汁-KY,食品工業,1.0
1301,台塑,塑膠工業,1.0
1303,南亞,塑膠工業,1.0
1304,台聚,塑膠工業,1.0
1305,華夏,塑膠工業,1.0
1307,三芳,塑膠工業,1.0
1308,亞聚,塑膠工業,1.0
1309,台達化,塑膠工業,1.0
1310,台苯,塑膠工業,1.0
1312,國喬,塑膠工業,1.0
1313,聯成,塑膠工業,1.0
1314,中石化,塑膠工業,1.0
1319,東陽,汽車工業,1.0
1321,大洋,塑膠工業,1.0
1323,永裕,塑膠工業,1.0
1326,台化,塑膠工業,1.0
1337,再生-KY,塑膠工業,1.0
1338,廣華-KY,汽車工業,1.0
1339,昭輝,汽車工業,1.0
1340,勝悅-KY,塑膠工業,1.0
1402,遠東新,紡織纖維,1.0
1409,新纖,紡織纖維,1.0
1414,東和,紡織纖維,1.0
1434,福懋,紡織纖維,1.0
1437,勤益控,其他,1.0
1440,南紡,紡織纖維,1.0
1442,名軒,建材營造,1.0
1444,力麗,紡織纖維,1.0
1445,大宇,紡織纖維,1.0
1446,宏和,紡織纖維,1.0
1447,力鵬,紡織纖維,1.0
1452,宏益,紡織纖維,1.0
1455,集盛,紡織纖維,1.0
1459,聯發,紡織纖維,1.0
1463,強盛新,紡織纖維,1.0
1464,得力,紡織纖維,1.0
1467,南緯,紡織纖維,1.0
1468,昶和,紡織纖維,1.0
1473,台南,紡織纖維,1.0
1474,弘裕,紡織纖維,1.0
1476,儒鴻,紡織纖維,1.0
1477,聚陽,紡織纖維,1.0
1503,士電,電機機械,1.0
1504,東元,電機機械,1.0
1506,正道,電機機械,1.0
