date,side,stock_id,lots,cash,value
2020-02-04,BUY,4960,9,31722,97422
2020-02-05,BUY,1340,2,3598,94748
2020-02-06,SELL_ALL,4960,9,66804,94604
2020-02-07,BUY,4960,9,3300,94150
2020-02-10,SELL_ALL,4960,9,64354,90754
2020-02-11,BUY,4960,9,309,90689
2020-02-12,SELL_ALL,4960,9,64411,91311
2020-02-13,BUY,2485,3,10215,91115
2020-02-14,BUY,2364,4,2208,91708
2020-02-17,HOLD,0050,0,2208,91028
2020-02-18,HOLD,0050,0,2208,91218
2020-02-19,HOLD,0050,0,2208,91378
2020-02-20,HOLD,0050,0,2208,91508
2020-02-21,HOLD,0050,0,2208,91658
2020-02-24,HOLD,0050,0,2208,91158
2020-02-25,HOLD,0050,0,2208,89868
2020-02-26,HOLD,0050,0,2208,89768
2020-02-27,HOLD,0050,0,2208,87958
2020-03-02,HOLD,0050,0,2208,86608
2020-03-03,HOLD,0050,0,2208,87808
2020-03-04,HOLD,0050,0,2208,87098
2020-03-05,HOLD,0050,0,2208,87498
2020-03-06,HOLD,0050,0,2208,87608
2020-03-09,HOLD,0050,0,2208,83988
2020-03-10,HOLD,0050,0,2208,83808
2020-03-11,HOLD,0050,0,2208,82688
2020-03-12,HOLD,0050,0,2208,75618
2020-03-13,HOLD,0050,0,2208,70758
2020-03-16,HOLD,0050,0,2208,66698
2020-03-17,HOLD,0050,0,2208,63448
2020-03-18,HOLD,0050,0,2208,62658
2020-03-19,HOLD,0050,0,2208,56778
2020-03-20,HOLD,0050,0,2208,60608
2020-03-23,HOLD,0050,0,2208,58168
2020-03-24,HOLD,0050,0,2208,61058
2020-03-25,HOLD,0050,0,2208,64898
2020-03-26,HOLD,0050,0,2208,65858
2020-03-27,HOLD,0050,0,2208,65918
2020-03-30,HOLD,0050,0,2208,66258
2020-03-31,HOLD,0050,0,2208,68588
2020-04-01,HOLD,0050,0,2208,69478
2020-04-06,HOLD,0050,0,2208,69468
2020-04-07,HOLD,0050,0,2208,71628
2020-04-08,HOLD,0050,0,2208,72398
2020-04-09,HOLD,0050,0,2208,71058
2020-04-10,HOLD,0050,0,2208,71998
2020-04-13,HOLD,0050,0,2208,63688
2020-04-14,HOLD,0050,0,2208,76868
2020-04-15,HOLD,0050,0,2208,69308
2020-04-16,HOLD,0050,0,2208,77748
2020-04-17,HOLD,0050,0,2208,77418
2020-04-20,HOLD,0050,0,2208,75268
2020-04-21,HOLD,0050,0,2208,73448
2020-04-22,HOLD,0050,0,2208,74088
2020-04-23,HOLD,0050,0,2208,74778
2020-04-24,HOLD,0050,0,2208,74508
2020-04-27,HOLD,0050,0,2208,75488
2020-04-28,HOLD,0050,0,2208,77038
2020-04-29,HOLD,0050,0,2208,79058
2020-04-30,HOLD,0050,0,2208,79248
2020-05-04,HOLD,0050,0,2208,78408
2020-05-05,HOLD,0050,0,2208,78428
2020-05-06,HOLD,0050,0,2208,77868
2020-05-07,HOLD,0050,0,2208,81288
2020-05-08,HOLD,0050,0,2208,80938
2020-05-11,HOLD,0050,0,2208,81288
2020-05-12,HOLD,0050,0,2208,81538
2020-05-13,HOLD,0050,0,2208,81768
2020-05-14,HOLD,0050,0,2208,79198
2020-05-15,HOLD,0050,0,2208,78148
2020-05-18,HOLD,0050,0,2208,77588
2020-05-19,HOLD,0050,0,2208,78558
2020-05-20,HOLD,0050,0,2208,80158
2020-05-21,HOLD,0050,0,2208,80058
2020-05-22,HOLD,0050,0,2208,78758
2020-05-25,HOLD,0050,0,2208,78908
2020-05-26,HOLD,0050,0,2208,80058
2020-05-27,HOLD,0050,0,2208,80788
2020-05-28,HOLD,0050,0,2208,71458
2020-05-29,HOLD,0050,0,2208,79468
2020-06-01,HOLD,0050,0,2208,79758
2020-06-02,HOLD,0050,0,2208,80058
2020-06-03,HOLD,0050,0,2208,81728
2020-06-04,HOLD,0050,0,2208,81728
2020-06-05,HOLD,0050,0,2208,82478
2020-06-08,HOLD,0050,0,2208,83178
2020-06-09,HOLD,0050,0,2208,82548
2020-06-10,HOLD,0050,0,2208,80908
2020-06-11,HOLD,0050,0,2208,79508
2020-06-12,HOLD,0050,0,2208,78458
2020-06-15,HOLD,0050,0,2208,79288
2020-06-16,HOLD,0050,0,2208,80928
2020-06-17,HOLD,0050,0,2208,84758
2020-06-18,HOLD,0050,0,2208,90058
2020-06-19,HOLD,0050,0,2208,90718
2020-06-22,HOLD,0050,0,2208,89588
2020-06-23,HOLD,0050,0,2208,88558
